probe_id,asn,isp,is_target_isp,label,confidence,reason
24086,8220.0,Other (AS8220),False,RESIDENTIAL,soft-inference,"behind NAT (system-ipv4-rfc1918), no location tag"
24385,24592.0,Other (AS24592),False,RESIDENTIAL,soft-inference,"behind NAT (system-ipv4-rfc1918), no location tag"
24830,50926.0,Other (AS50926),False,INFRASTRUCTURE,declared,location tag: datacentre
26072,3352.0,Movistar / Telefonica,True,RESIDENTIAL,declared,location tag: home
27073,15704.0,Other (AS15704),False,RESIDENTIAL,soft-inference,"behind NAT (system-ipv4-rfc1918), no location tag"
27076,57269.0,Other (AS57269),False,RESIDENTIAL,soft-inference,"behind NAT (system-ipv4-rfc1918), no location tag"
27388,200845.0,Other (AS200845),False,RESIDENTIAL,declared,location tag: home
29823,34977.0,Other (AS34977),False,RESIDENTIAL,soft-inference,"behind NAT (system-ipv4-rfc1918), no location tag"
30039,3352.0,Movistar / Telefonica,True,RESIDENTIAL,soft-inference,"behind NAT (system-ipv4-rfc1918), no location tag"
30356,12430.0,Vodafone Espana,True,RESIDENTIAL,soft-inference,"behind NAT (system-ipv4-rfc1918), no location tag"
30392,3352.0,Movistar / Telefonica,True,INFRASTRUCTURE,declared,location tag: office
30488,15704.0,Other (AS15704),False,RESIDENTIAL,soft-inference,"behind NAT (system-ipv4-rfc1918), no location tag"
31427,41368.0,Other (AS41368),False,RESIDENTIAL,soft-inference,"behind NAT (system-ipv4-rfc1918), no location tag"
33818,3352.0,Movistar / Telefonica,True,INFRASTRUCTURE,declared,location tag: office
33948,3352.0,Movistar / Telefonica,True,RESIDENTIAL,soft-inference,"behind NAT (system-ipv4-rfc1918), no location tag"
33970,3352.0,Movistar / Telefonica,True,INFRASTRUCTURE,declared,location tag: office
33971,3352.0,Movistar / Telefonica,True,RESIDENTIAL,soft-inference,"behind NAT (system-ipv4-rfc1918), no location tag"
34344,3352.0,Movistar / Telefonica,True,RESIDENTIAL,declared,location tag: home
34664,200845.0,Other (AS200845),False,RESIDENTIAL,declared,location tag: home
34960,16276.0,Other (AS16276),False,RESIDENTIAL,declared,location tag: home
35685,57269.0,Other (AS57269),False,RESIDENTIAL,declared,location tag: home
35783,6739.0,Other (AS6739),False,RESIDENTIAL,declared,location tag: home
50328,33932.0,Other (AS33932),False,RESIDENTIAL,declared,location tag: home
50584,3352.0,Movistar / Telefonica,True,RESIDENTIAL,soft-inference,"behind NAT (system-ipv4-rfc1918), no location tag"
50990,3352.0,Movistar / Telefonica,True,RESIDENTIAL,soft-inference,"behind NAT (system-ipv4-rfc1918), no location tag"
51046,57269.0,Other (AS57269),False,RESIDENTIAL,soft-inference,"behind NAT (system-ipv4-rfc1918), no location tag"
51265,3352.0,Movistar / Telefonica,True,RESIDENTIAL,declared,location tag: home
51352,3352.0,Movistar / Telefonica,True,INFRASTRUCTURE,declared,location tag: office
52746,766.0,Other (AS766),False,UNKNOWN,weak-hint,"hardware probe, no location tag"
52969,200030.0,Other (AS200030),False,INFRASTRUCTURE,declared,"location tag: core, datacentre, isp"
53229,3352.0,Movistar / Telefonica,True,RESIDENTIAL,soft-inference,"behind NAT (system-ipv4-rfc1918), no location tag"
53240,15450.0,Other (AS15450),False,RESIDENTIAL,soft-inference,"behind NAT (system-ipv4-rfc1918), no location tag"
53528,12479.0,Orange Espana,True,RESIDENTIAL,soft-inference,"behind NAT (system-ipv4-rfc1918), no location tag"
53761,57269.0,Other (AS57269),False,RESIDENTIAL,soft-inference,"behind NAT (system-ipv4-rfc1918), no location tag"
53792,15704.0,Other (AS15704),False,RESIDENTIAL,declared,location tag: home
54639,12479.0,Orange Espana,True,RESIDENTIAL,declared,location tag: home
55346,57269.0,Other (AS57269),False,RESIDENTIAL,declared,location tag: home
55420,,Other (unknown AS),False,RESIDENTIAL,declared,location tag: home
55502,202367.0,Other (AS202367),False,RESIDENTIAL,soft-inference,"behind NAT (system-ipv4-rfc1918), no location tag"
55661,3352.0,Movistar / Telefonica,True,RESIDENTIAL,declared,location tag: home
55787,3352.0,Movistar / Telefonica,True,RESIDENTIAL,soft-inference,"behind NAT (system-ipv4-rfc1918), no location tag"
60032,14593.0,Other (AS14593),False,RESIDENTIAL,soft-inference,"behind NAT (system-ipv4-rfc1918), no location tag"
60061,57269.0,Other (AS57269),False,RESIDENTIAL,soft-inference,"behind NAT (system-ipv4-rfc1918), no location tag"
60133,12479.0,Orange Espana,True,RESIDENTIAL,soft-inference,"behind NAT (system-ipv4-rfc1918), no location tag"
60135,12430.0,Vodafone Espana,True,RESIDENTIAL,declared,location tag: home
60319,60273.0,Other (AS60273),False,RESIDENTIAL,soft-inference,"behind NAT (system-ipv4-rfc1918), no location tag"
60464,12540.0,Other (AS12540),False,INFRASTRUCTURE,declared,"location tag: datacentre, isp"
60555,15704.0,Other (AS15704),False,RESIDENTIAL,soft-inference,"behind NAT (system-ipv4-rfc1918), no location tag"
60561,3352.0,Movistar / Telefonica,True,RESIDENTIAL,declared,location tag: home
60589,209910.0,Other (AS209910),False,RESIDENTIAL,soft-inference,"behind NAT (system-ipv4-rfc1918), no location tag"
60610,57269.0,Other (AS57269),False,RESIDENTIAL,soft-inference,"behind NAT (system-ipv4-rfc1918), no location tag"
60629,15704.0,Other (AS15704),False,RESIDENTIAL,soft-inference,"behind NAT (system-ipv4-rfc1918), no location tag"
60668,57269.0,Other (AS57269),False,RESIDENTIAL,declared,location tag: home
60741,205580.0,Other (AS205580),False,RESIDENTIAL,soft-inference,"behind NAT (system-ipv4-rfc1918), no location tag"
